creative_id,campaign_id,advertiser_name,app_name,vertical,format,width,height,language,creative_launch_date,theme,hook_type,cta_text,headline,subhead,dominant_color,emotional_tone,duration_sec,text_density,copy_length_chars,readability_score,brand_visibility_score,clutter_score,novelty_score,motion_score,faces_count,product_count,has_price,has_discount_badge,has_gameplay,has_ugc_style,asset_file,creative_status,fatigue_day,total_days_active,total_spend_usd,total_impressions,total_clicks,total_conversions,total_revenue_usd,overall_ctr,overall_cvr,overall_ipm,overall_roas,first_7d_ctr,last_7d_ctr,ctr_decay_pct,first_7d_cvr,last_7d_cvr,cvr_decay_pct,peak_rolling_ctr_5,peak_day_impressions,first_7d_impressions,first_7d_clicks,first_7d_conversions,last_7d_impressions,last_7d_clicks,last_7d_conversions,perf_score,n_observed_distinct_days,first_7d_ipm,first_7d_revenue_usd,first_7d_roas,first_7d_spend_usd,last_7d_ipm,last_7d_revenue_usd,last_7d_roas,last_7d_spend_usd
500000,20000,PixelForge,PixelForge Legends,gaming,interstitial,360,640,ja,2026-01-19,family,power-up,Order now,Level up today,Play with friends tonight,purple,premium,5,0.419,37,0.75,0.733,0.466,0.366,0.823,0,2,0,0,1,0,assets/creative_500000.png,stable,,57,71899.93,11656411,45389,8800,48404.62,0.0038939086825267,0.1938795743462072,0.7549493579112817,0.6732220740687788,0.008468874141812908,0.0018183405367354936,-0.785291349678005,0.0016776022598147275,0.00032782135314996387,-0.8045893469491583,0.0102055731134143,940460,3314254.0,28068.0,5560.0,1076806.0,1958.0,353.0,0.3410493827160494,57,1.6776022598147275,30271.280000000002,1.483168682603074,20409.87,0.32782135314996386,1957.43,0.29260355471844784,6689.699999999999
500001,20000,PixelForge,PixelForge Legends,gaming,rewarded_video,360,640,en,2026-01-30,gameplay,free rewards,Claim reward,Beat your rivals,No ads in first week,blue,excited,20,0.205,12,0.515,0.86,0.182,0.815,1.0,2,1,0,0,1,0,assets/creative_500001.png,fatigued,12.0,46,47396.67,6308862,42192,9380,53401.61,0.0066877354426202,0.2223170269245354,1.4867974604611736,1.1266953986429848,0.015090394141355509,0.0018252343640843556,-0.8790466075977257,0.0034881336887146895,0.0003881118028125908,-0.8887336789675621,0.0154811110016695,214688,1126677.0,17002.0,3930.0,901802.0,1646.0,350.0,0.5978395061728395,46,3.4881336887146897,22639.719999999998,2.669545346278744,8480.74,0.3881118028125908,1893.86,0.27833527330017754,6804.24
500002,20000,PixelForge,PixelForge Legends,gaming,rewarded_video,360,640,ja,2026-02-03,feature-focus,competition,Claim reward,Win epic rewards,No ads in first week,blue,playful,10,0.492,52,0.75,0.672,0.388,0.669,0.842,0,1,0,1,0,0,assets/creative_500002.png,fatigued,11.0,42,41177.21,5472677,38644,7945,45628.77,0.0070612608783598,0.2055946589379981,1.451757521958632,1.1081073729861737,0.01604398366453796,0.0018671847643145184,-0.883620876002164,0.0033805155154150875,0.0004009985428503654,-0.8813794697815113,0.0165807282032309,167737,946897.0,15192.0,3201.0,885290.0,1653.0,355.0,0.6074074074074074,42,3.3805155154150874,18805.719999999998,2.6660976941016346,7053.650000000001,0.4009985428503654,2059.93,0.3085940367419152,6675.21
500003,20000,PixelForge,PixelForge Legends,gaming,interstitial,360,640,en,2026-01-22,testimonial,free shipping,Order now,Level up today,No ads in first week,orange,trustworthy,5,0.357,23,0.701,0.639,0.475,0.99,0.805,0,1,0,0,1,0,assets/creative_500003.png,stable,,54,58977.52,9554290,52375,9906,55980.77,0.0054818306750161,0.1891360381861575,1.0368117358799032,0.9491882669871504,0.01261843061503299,0.0017869159765993446,-0.8583884136533985,0.0024301751989994702,0.00031410275725609325,-0.870748924857182,0.0139213687319307,369632,2164453.0,27312.0,5260.0,1095183.0,1957.0,344.0,0.4916666666666667,54,2.4301751989994704,29491.94,2.2000898180364166,13404.88,0.31410275725609327,1894.0800000000002,0.2811797173179498,6736.1900000000005
500004,20000,PixelForge,PixelForge Legends,gaming,rewarded_video,360,640,en,2026-01-20,reward,limited offer,Get offer,Level up today,Free rewards for new players,purple,urgent,15,0.479,62,0.707,0.472,0.586,0.717,0.892,1,2,0,0,0,0,assets/creative_500004.png,stable,,56,60708.18,8095795,47116,9307,52325.7,0.005819811395916,0.1975337464980049,1.149609148947077,0.8619217377295777,0.013377560991700099,0.0018197373288938218,-0.8639709189124348,0.0026841708138686284,0.00034105623381428045,-0.8729379545995716,0.0146295330635053,367249,1940264.0,25956.0,5208.0,864960.0,1574.0,295.0,0.5191358024691358,56,2.6841708138686284,29459.309999999998,2.0156665984726825,14615.17,0.34105623381428046,1637.32,0.250122974735948,6546.06
500005,20000,PixelForge,PixelForge Legends,gaming,rewarded_video,360,640,ja,2026-01-28,ugc,competition,Shop now,Beat your rivals,Free rewards for new players,blue,calm,10,0.05,40,0.848,0.553,0.553,0.489,0.879,2,1,0,0,1,0,assets/creative_500005.png,stable,,48,44977.12,5997958,36277,7397,42033.36,0.0060482250792686,0.2039032996113239,1.2332530504548382,0.9345498333374836,0.014250837911988475,0.0017763387449790822,-0.8753519788836597,0.002939026067568644,0.00034304954598802384,-0.8832778144523853,0.0146661214183338,204675,1105128.0,15749.0,3248.0,851189.0,1512.0,292.0,0.5419753086419753,48,2.9390260675686437,18683.46,2.240459424975297,8339.119999999999,0.34304954598802384,1673.73,0.2632400101286687,6358.19
500006,20001,VantaStyle,VantaStyle Drops,ecommerce,banner,320,480,es,2026-01-15,drama,before/after,Order now,Up to 40% off,Only this weekend,red,urgent,0,0.629,80,0.846,0.806,0.294,0.401,0.42,1,3,0,1,0,0,assets/creative_500006.png,underperformer,,61,46536.78,17990207,49913,2274,90338.49,0.0027744539015031,0.0455592731352553,0.1264021030997586,1.941227777254894,0.004195106969060628,0.0018132051517750552,-0.5677809492945851,0.00019558461298033948,6.943518422811352e-05,-0.6449864681579359,0.0063333398176236,1450753,7377881.0,30951.0,1443.0,1267369.0,2298.0,88.0,0.1296296296296296,61,0.19558461298033947,57407.94,3.0083273026634685,19083.010000000002,0.06943518422811353,3359.27,1.0091443540222842,3328.83
500007,20001,VantaStyle,VantaStyle Drops,ecommerce,interstitial,360,640,es,2026-01-23,feature-focus,before/after,Watch now,Limited stock,Only this weekend,lime,adventurous,8,0.561,66,0.788,0.706,0.29,0.695,0.684,1,3,1,1,0,0,assets/creative_500007.png,stable,,53,24391.43,6904277,35777,1943,74402.43000000001,0.0051818604612763,0.0543086340386281,0.2814197634306966,3.050351291416699,0.0116901614480279,0.0018266630643468365,-0.8437435554275438,0.0006405567916727617,0.00011356871146135436,-0.8227031343079215,0.0121621344279117,315663,1298870.0,15184.0,832.0,836498.0,1528.0,95.0,0.4419753086419752,53,0.6405567916727617,32306.49,7.0138033446732955,4606.129999999999,0.11356871146135436,3549.9299999999994,1.1707092659343268,3032.2899999999995
500008,20001,VantaStyle,VantaStyle Drops,ecommerce,native,320,320,es,2026-01-28,combo,limited offer,Install now,Flash sale live,Only this weekend,teal,playful,0,0.473,71,0.609,0.796,0.278,0.198,0.359,0,2,0,1,0,1,assets/creative_500008.png,stable,,48,21533.2,7543546,27070,1501,56896.94,0.0035884980352741,0.0554488363502031,0.1989780403009406,2.642289116341278,0.009077301916855776,0.0018262086066363416,-0.7988159231274188,0.0005065214638470306,8.284024770164853e-05,-0.8364526409750205,0.0093729454895087,246249,1097683.0,9964.0,556.0,1074357.0,1962.0,89.0,0.2496913580246913,48,0.5065214638470306,20728.340000000004,6.453827927728775,3211.79,0.08284024770164852,3443.98,1.1350574617937572,3034.19
500009,20001,VantaStyle,VantaStyle Drops,ecommerce,banner,320,480,en,2026-01-29,discount,free shipping,Shop now,Limited stock,Free shipping over $25,purple,urgent,0,0.709,91,0.889,0.655,0.539,0.409,0.235,1,3,1,1,0,1,assets/creative_500009.png,underperformer,,47,21926.22,8587184,26069,1342,53252.02,0.0030358031224205,0.0514787678852276,0.1562794042843381,2.428691311133428,0.00754432404639028,0.0018907947793347164,-0.7493751901816305,0.00042810077888442424,9.157481662518277e-05,-0.7860905162008465,0.0083275001848835,234427,1312775.0,9904.0,562.0,1332244.0,2519.0,122.0,0.1925925925925926,47,0.4281007788844242,23380.39,6.874745288760949,3400.91,0.09157481662518277,4761.85,1.4240024641222013,3343.9900000000002
