creative_id,campaign_id,advertiser_name,app_name,vertical,format,width,height,language,creative_launch_date,theme,hook_type,cta_text,headline,subhead,dominant_color,emotional_tone,duration_sec,text_density,copy_length_chars,readability_score,brand_visibility_score,clutter_score,novelty_score,motion_score,faces_count,product_count,has_price,has_discount_badge,has_gameplay,has_ugc_style,asset_file,creative_status,fatigue_day,total_days_active,total_spend_usd,total_impressions,total_clicks,total_conversions,total_revenue_usd,overall_ctr,overall_cvr,overall_ipm,overall_roas,first_7d_ctr,last_7d_ctr,ctr_decay_pct,first_7d_cvr,last_7d_cvr,cvr_decay_pct,peak_rolling_ctr_5,peak_day_impressions,first_7d_impressions,first_7d_clicks,first_7d_conversions,last_7d_impressions,last_7d_clicks,last_7d_conversions,perf_score
500000,20000,PixelForge,PixelForge Legends,gaming,interstitial,360,640,ja,2026-01-19,family,power-up,Order now,Level up today,Play with friends tonight,purple,premium,5,0.419,37,0.75,0.733,0.466,0.366,0.823,0,2,0,0,1,0,assets/creative_500000.png,stable,,57,71899.93,11656411,45389,8800,48404.62,0.0038939086825267,0.1938795743462072,0.7549493579112817,0.6732220740687788,0.0084688741418129,0.0018183405367354,-0.785291349678005,0.1980903520022801,0.1802860061287027,-0.0898799244567573,0.0102055731134143,940460,3314254,28068,5560,1076806,1958,353,0.3410493827160494
500001,20000,PixelForge,PixelForge Legends,gaming,rewarded_video,360,640,en,2026-01-30,gameplay,free rewards,Claim reward,Beat your rivals,No ads in first week,blue,excited,20,0.205,12,0.515,0.86,0.182,0.815,1.0,2,1,0,0,1,0,assets/creative_500001.png,fatigued,12.0,46,47396.67,6308862,42192,9380,53401.61,0.0066877354426202,0.2223170269245354,1.4867974604611736,1.1266953986429848,0.0150903941413555,0.0018252343640843,-0.8790466075977256,0.2311492765556993,0.212636695018226,-0.0800892904071556,0.0154811110016695,214688,1126677,17002,3930,901802,1646,350,0.5978395061728395
500002,20000,PixelForge,PixelForge Legends,gaming,rewarded_video,360,640,ja,2026-02-03,feature-focus,competition,Claim reward,Win epic rewards,No ads in first week,blue,playful,10,0.492,52,0.75,0.672,0.388,0.669,0.842,0,1,0,1,0,0,assets/creative_500002.png,fatigued,11.0,42,41177.21,5472677,38644,7945,45628.77,0.0070612608783598,0.2055946589379981,1.451757521958632,1.1081073729861737,0.0160439836645379,0.0018671847643145,-0.883620876002164,0.2107030015797788,0.2147610405323654,0.0192595213269899,0.0165807282032309,167737,946897,15192,3201,885290,1653,355,0.6074074074074074
500003,20000,PixelForge,PixelForge Legends,gaming,interstitial,360,640,en,2026-01-22,testimonial,free shipping,Order now,Level up today,No ads in first week,orange,trustworthy,5,0.357,23,0.701,0.639,0.475,0.99,0.805,0,1,0,0,1,0,assets/creative_500003.png,stable,,54,58977.52,9554290,52375,9906,55980.77,0.0054818306750161,0.1891360381861575,1.0368117358799032,0.9491882669871504,0.0126184306150329,0.0017869159765993,-0.8583884136533985,0.1925893380199179,0.175779253960143,-0.0872846037719718,0.0139213687319307,369632,2164453,27312,5260,1095183,1957,344,0.4916666666666667
500004,20000,PixelForge,PixelForge Legends,gaming,rewarded_video,360,640,en,2026-01-20,reward,limited offer,Get offer,Level up today,Free rewards for new players,purple,urgent,15,0.479,62,0.707,0.472,0.586,0.717,0.892,1,2,0,0,0,0,assets/creative_500004.png,stable,,56,60708.18,8095795,47116,9307,52325.7,0.005819811395916,0.1975337464980049,1.149609148947077,0.8619217377295777,0.0133775609917,0.0018197373288938,-0.8639709189124348,0.2006472491909385,0.187420584498094,-0.0659199901627248,0.0146295330635053,367249,1940264,25956,5208,864960,1574,295,0.5191358024691358
500005,20000,PixelForge,PixelForge Legends,gaming,rewarded_video,360,640,ja,2026-01-28,ugc,competition,Shop now,Beat your rivals,Free rewards for new players,blue,calm,10,0.05,40,0.848,0.553,0.553,0.489,0.879,2,1,0,0,1,0,assets/creative_500005.png,stable,,48,44977.12,5997958,36277,7397,42033.36,0.0060482250792686,0.2039032996113239,1.2332530504548382,0.9345498333374836,0.0142508379119884,0.001776338744979,-0.8753519788836597,0.2062353165280335,0.1931216931216931,-0.0635857312273568,0.0146661214183338,204675,1105128,15749,3248,851189,1512,292,0.5419753086419753
500006,20001,VantaStyle,VantaStyle Drops,ecommerce,banner,320,480,es,2026-01-15,drama,before/after,Order now,Up to 40% off,Only this weekend,red,urgent,0,0.629,80,0.846,0.806,0.294,0.401,0.42,1,3,0,1,0,0,assets/creative_500006.png,underperformer,,61,46536.78,17990207,49913,2274,90338.49,0.0027744539015031,0.0455592731352553,0.1264021030997586,1.941227777254894,0.0041951069690606,0.001813205151775,-0.5677809492945851,0.0466220800620335,0.0382941688424717,-0.1786259044744684,0.0063333398176236,1450753,7377881,30951,1443,1267369,2298,88,0.1296296296296296
500007,20001,VantaStyle,VantaStyle Drops,ecommerce,interstitial,360,640,es,2026-01-23,feature-focus,before/after,Watch now,Limited stock,Only this weekend,lime,adventurous,8,0.561,66,0.788,0.706,0.29,0.695,0.684,1,3,1,1,0,0,assets/creative_500007.png,stable,,53,24391.43,6904277,35777,1943,74402.43000000001,0.0051818604612763,0.0543086340386281,0.2814197634306966,3.050351291416699,0.0116901614480279,0.0018266630643468,-0.8437435554275438,0.0547945205479452,0.0621727748691099,0.1346531413612566,0.0121621344279117,315663,1298870,15184,832,836498,1528,95,0.4419753086419752
500008,20001,VantaStyle,VantaStyle Drops,ecommerce,native,320,320,es,2026-01-28,combo,limited offer,Install now,Flash sale live,Only this weekend,teal,playful,0,0.473,71,0.609,0.796,0.278,0.198,0.359,0,2,0,1,0,1,assets/creative_500008.png,stable,,48,21533.2,7543546,27070,1501,56896.94,0.0035884980352741,0.0554488363502031,0.1989780403009406,2.642289116341278,0.0090773019168557,0.0018262086066363,-0.7988159231274188,0.055800883179446,0.045361875637105,-0.1870760272515931,0.0093729454895087,246249,1097683,9964,556,1074357,1962,89,0.2496913580246913
500009,20001,VantaStyle,VantaStyle Drops,ecommerce,banner,320,480,en,2026-01-29,discount,free shipping,Shop now,Limited stock,Free shipping over $25,purple,urgent,0,0.709,91,0.889,0.655,0.539,0.409,0.235,1,3,1,1,0,1,assets/creative_500009.png,underperformer,,47,21926.22,8587184,26069,1342,53252.02,0.0030358031224205,0.0514787678852276,0.1562794042843381,2.428691311133428,0.0075443240463902,0.0018907947793347,-0.7493751901816303,0.0567447495961227,0.0484319174275506,-0.1464951775756916,0.0083275001848835,234427,1312775,9904,562,1332244,2519,122,0.1925925925925926
500010,20001,VantaStyle,VantaStyle Drops,ecommerce,native,320,320,es,2026-01-24,fantasy,free shipping,Watch now,Limited stock,Shop bestsellers now,orange,premium,0,0.519,35,0.681,0.699,0.491,0.553,0.503,1,3,1,0,0,0,assets/creative_500010.png,stable,,52,22753.85,8040694,29217,1552,58894.66,0.0036336415737248,0.0531197590443919,0.1930181648499495,2.588338237265342,0.0084764993292908,0.0017798570521092,-0.7900245156678192,0.0551507963402236,0.0437710437710437,-0.2063388622528407,0.0087698018892196,277158,1392556,11804,651,1001204,1782,78,0.2487654320987654
500011,20001,VantaStyle,VantaStyle Drops,ecommerce,interstitial,360,640,en,2026-01-24,ugc,before/after,Start now,Flash sale live,Free shipping over $25,blue,trustworthy,8,0.606,69,0.754,0.568,0.761,0.47,0.665,1,2,0,0,0,1,assets/creative_500011.png,underperformer,,52,23264.98,6490290,25835,1197,46014.16,0.003980561731448,0.0463324946777627,0.184429355236823,1.977829338344585,0.0100475812373509,0.0017611023139977,-0.824723754663361,0.0471946354299295,0.0429184549356223,-0.0906073424522184,0.0109228910516131,252918,1172521,11781,556,793821,1398,60,0.2095679012345679
500012,20002,EarnPath,EarnPath Invest,fintech,native,320,320,es,2026-01-03,trust,last-minute deal,Book now,"Your money, clearer",Built for peace of mind,blue,excited,0,0.41,45,0.746,0.936,0.329,0.377,0.375,1,1,0,0,0,0,assets/creative_500012.png,stable,,73,40744.96,8514775,25553,2629,252047.1,0.0030010188172911,0.1028842014636246,0.3087574245943081,6.185969994816537,0.0065055820933958,0.0018688442765193,-0.7127321967981208,0.1058836253515033,0.1017080745341614,-0.0394352838173063,0.0070110796408371,260428,1421241,9246,979,689196,1288,131,0.3620370370370371
500013,20002,EarnPath,EarnPath Invest,fintech,banner,320,480,es,2026-01-03,minimalist,save smarter,Claim reward,Secure & simple,Built for peace of mind,blue,excited,0,0.161,37,0.9,0.74,0.47,0.228,0.343,0,1,0,0,0,0,assets/creative_500013.png,stable,,73,42570.83,9950237,26349,2234,216512.44,0.0026480776287037,0.0847850013283236,0.2245172652671489,5.085934194846565,0.0056353974543927,0.00185093796035,-0.671551478785712,0.0904082955281918,0.0877659574468085,-0.0292267215740105,0.0060775771736367,299274,1642830,9258,837,812561,1504,132,0.2617283950617284
500014,20002,EarnPath,EarnPath Invest,fintech,native,320,320,pt,2026-01-16,feature-focus,new collection,Order now,Secure & simple,Built for peace of mind,white,playful,0,0.287,16,0.99,0.98,0.192,0.05,0.546,1,1,0,0,0,0,assets/creative_500014.png,stable,,60,29998.18,6342304,19819,2076,197573.29,0.0031248896300145,0.1047479691205408,0.3273258424698658,6.586175894670943,0.0068597071390126,0.0018312867994855,-0.7330371745652744,0.1030029060381013,0.0980103168754605,-0.0484703719018764,0.0069870613349204,160056,902954,6194,638,741009,1357,133,0.3932098765432099
500015,20002,EarnPath,EarnPath Invest,fintech,banner,320,480,pt,2026-01-19,fantasy,free rewards,Start now,Track every euro,Built for peace of mind,blue,calm,0,0.601,47,0.861,0.794,0.128,0.278,0.38,1,2,0,0,0,1,assets/creative_500015.png,stable,,57,25779.45,6070745,16962,1607,156400.23,0.0027940557542772,0.0947411861808749,0.2647121564157282,6.06685674054334,0.0060578526862014,0.0017546841029126,-0.7103455310312328,0.1021882302953048,0.0799385088393543,-0.217732721191599,0.0062661532251175,148195,777008,4707,481,741444,1301,104,0.3101851851851852
