fatigued_creative_id,nearest_stable_creative_id,feature_space_distance,top_feature_contrasts,observed_time_to_fatigue_days
500001,500977,5.0823550832382365,early_spend_usd: you=8481 vs stable_peer=8971 | early_revenue_usd: you=2.264e+04 vs stable_peer=2.283e+04 | format: you=rewarded_video vs stable_peer=playable | hook_type: you=free rewards vs stable_peer=discover | cta_text: you=Claim reward vs stable_peer=Learn more | subhead: you=No ads in first week vs stable_peer=Free rewards for new players,12.0
500002,500904,4.831930630617748,early_revenue_usd: you=1.881e+04 vs stable_peer=1.448e+04 | early_spend_usd: you=7054 vs stable_peer=7772 | format: you=rewarded_video vs stable_peer=interstitial | theme: you=feature-focus vs stable_peer=competitive | cta_text: you=Claim reward vs stable_peer=Book now | headline: you=Win epic rewards vs stable_peer=Join the arena,11.0
500023,501026,4.315631732283736,early_revenue_usd: you=6.976e+04 vs stable_peer=5.109e+04 | early_spend_usd: you=4934 vs stable_peer=3749 | language: you=pt vs stable_peer=fr | hook_type: you=escape vs stable_peer=challenge | cta_text: you=Install now vs stable_peer=Claim reward | headline: you=Escape this weekend vs stable_peer=Book your next trip,12.0
500030,500610,4.452948926987702,early_revenue_usd: you=2.164e+04 vs stable_peer=1.283e+04 | early_spend_usd: you=4933 vs stable_peer=3843 | language: you=es vs stable_peer=en | theme: you=ugc vs stable_peer=trust | hook_type: you=late-night vs stable_peer=exclusive | cta_text: you=Watch now vs stable_peer=Get offer,14.0
500036,500398,3.903888342190061,early_revenue_usd: you=1.644e+04 vs stable_peer=8402 | early_spend_usd: you=5334 vs stable_peer=3072 | format: you=rewarded_video vs stable_peer=playable | language: you=it vs stable_peer=en | theme: you=competitive vs stable_peer=fantasy | cta_text: you=Claim reward vs stable_peer=Install now,11.0
500037,500257,5.6713890679041965,early_revenue_usd: you=3.548e+04 vs stable_peer=3.435e+04 | early_spend_usd: you=1.065e+04 vs stable_peer=9858 | theme: you=gameplay vs stable_peer=competitive | hook_type: you=security vs stable_peer=free shipping | cta_text: you=Watch now vs stable_peer=Install now | headline: you=Beat your rivals vs stable_peer=Unlock rare gear,10.0
500039,500904,4.583976382927557,early_spend_usd: you=4037 vs stable_peer=7772 | early_revenue_usd: you=1.352e+04 vs stable_peer=1.448e+04 | language: you=fr vs stable_peer=ja | theme: you=ugc vs stable_peer=competitive | hook_type: you=fast vs stable_peer=competition | cta_text: you=Get offer vs stable_peer=Book now,11.0
500040,500005,4.573677660825426,early_spend_usd: you=4572 vs stable_peer=8339 | early_revenue_usd: you=1.529e+04 vs stable_peer=1.868e+04 | language: you=pt vs stable_peer=ja | theme: you=reward vs stable_peer=ugc | hook_type: you=power-up vs stable_peer=competition | cta_text: you=Book now vs stable_peer=Shop now,11.0
500054,501031,3.8681480727637996,early_revenue_usd: you=6.478e+04 vs stable_peer=6.245e+04 | early_spend_usd: you=4747 vs stable_peer=4653 | language: you=en vs stable_peer=es | theme: you=feature-focus vs stable_peer=discount | cta_text: you=Learn more vs stable_peer=Watch now | headline: you=Last-minute savings vs stable_peer=Dream destinations await,14.0
500056,500344,5.0261974094088595,early_revenue_usd: you=1.09e+05 vs stable_peer=8.946e+04 | early_spend_usd: you=7598 vs stable_peer=5875 | language: you=en vs stable_peer=es | theme: you=food-closeup vs stable_peer=destination | hook_type: you=book now vs stable_peer=escape | headline: you=Escape this weekend vs stable_peer=Fly smarter,13.0
500059,500851,5.244887772707705,early_revenue_usd: you=1.47e+05 vs stable_peer=1.227e+05 | early_spend_usd: you=1.429e+04 vs stable_peer=1.357e+04 | format: you=rewarded_video vs stable_peer=interstitial | theme: you=food-closeup vs stable_peer=wanderlust | hook_type: you=escape vs stable_peer=last-minute deal | cta_text: you=Try for free vs stable_peer=Order now,13.0
